subject_drugbank_id,affected_drugbank_id
DB00033,DB00480
DB00033,DB00488
DB00033,DB00495
DB00033,DB00515
DB00033,DB00526
DB00033,DB00531
DB00033,DB00541
DB00033,DB00544
DB00033,DB00550
DB00033,DB00552
DB00033,DB00563
DB00033,DB00564
DB00033,DB00570
DB00033,DB00588
DB00033,DB00591
DB00033,DB00601
DB00033,DB00619
DB00033,DB00620
DB00033,DB00631
DB00033,DB00635
DB00033,DB00642
DB00033,DB00687
DB00033,DB00688
DB00033,DB00694
DB00033,DB00762
DB00033,DB00763
DB00033,DB00773
DB00033,DB00795
DB00033,DB00851
DB00033,DB00853
DB00033,DB00859
DB00033,DB00860
DB00033,DB00877
DB00033,DB00888
DB00033,DB00928
DB00033,DB00958
DB00033,DB00959
DB00033,DB00970
DB00033,DB00987
DB00033,DB00993
DB00033,DB00997
DB00033,DB01005
DB00033,DB01008
DB00033,DB01024
DB00033,DB01030
DB00033,DB01033
DB00033,DB01041
DB00033,DB01042
DB00033,DB01073
DB00033,DB01099
DB00033,DB01101
DB00033,DB01108
DB00033,DB01168
DB00033,DB01169
DB00033,DB01177
DB00033,DB01181
DB00033,DB01196
DB00033,DB01204
DB00033,DB01206
DB00033,DB01222
DB00033,DB01229
DB00033,DB01234
DB00033,DB01248
DB00033,DB01254
DB00033,DB01257
DB00033,DB01262
DB00033,DB01268
DB00033,DB01280
DB00033,DB01281
DB00033,DB01285
DB00033,DB01380
DB00033,DB01384
DB00033,DB01410
DB00033,DB01423
DB00033,DB01590
DB00033,DB01611
DB00033,DB01816
DB00033,DB02546
DB00033,DB02806
DB00033,DB03523
DB00033,DB04572
DB00033,DB04630
DB00033,DB04845
DB00033,DB04868
DB00033,DB04951
DB00033,DB04956
DB00033,DB05015
DB00033,DB05109
DB00033,DB05258
DB00033,DB05259
DB00033,DB05459
DB00033,DB05472
DB00033,DB05676
DB00033,DB05773
DB00033,DB06168
DB00033,DB06273
DB00033,DB06287
DB00033,DB06372
DB00033,DB06589
DB00033,DB06603
DB00033,DB06612
DB00033,DB06616
DB00033,DB06662
DB00033,DB06674
DB00033,DB06681
DB00033,DB06769
DB00033,DB06772
DB00033,DB06813
DB00033,DB08059
DB00033,DB08870
DB00033,DB08871
DB00033,DB08877
DB00033,DB08879
DB00033,DB08880
DB00033,DB08889
DB00033,DB08901
DB00033,DB08904
DB00033,DB08906
DB00033,DB08908
DB00033,DB08910
DB00033,DB08935
DB00033,DB08970
DB00033,DB09029
DB00033,DB09033
DB00033,DB09036
DB00033,DB09052
DB00033,DB09053
DB00033,DB09054
DB00033,DB09073
DB00033,DB09074
DB00033,DB09077
DB00033,DB09082
DB00033,DB09091
DB00033,DB09122
DB00033,DB09312
DB00033,DB09378
DB00033,DB09383
DB00033,DB11466
DB00033,DB11487
DB00033,DB11529
DB00033,DB11569
DB00033,DB11580
DB00033,DB11616
DB00033,DB11693
DB00033,DB11708
DB00033,DB11767
DB00033,DB11776
DB00033,DB11803
DB00033,DB11817
DB00033,DB11834
DB00033,DB11921
DB00033,DB11988
DB00033,DB12025
DB00033,DB12371
DB00033,DB12612
DB00033,DB12617
DB00033,DB12692
DB00033,DB12814
DB00033,DB12902
DB00033,DB12947
DB00033,DB12991
DB00033,DB12996
DB00033,DB13003
DB00033,DB13014
DB00033,DB13068
DB00033,DB13208
DB00033,DB13241
DB00033,DB13491
DB00033,DB13843
DB00033,DB13856
DB00033,DB13867
DB00033,DB14066
DB00033,DB14219
DB00033,DB14512
DB00033,DB14539
DB00033,DB14545
DB00033,DB14724
DB00033,DB14762
DB00033,DB14919
DB00033,DB15253
DB00034,DB00051
DB00034,DB00056
DB00034,DB00059
DB00034,DB00065
DB00034,DB00068
DB00034,DB00069
